mcNumber,legalName,dbaName,entityType,operationType,phone,email,physicalAddress,mailingAddress,city,state,zip,url
MC-740609,MOHAVE SHRED LLC,,CARRIER,Property,(928) 704-4121,MOHAVESHRED@FRONTIER.COM,"3640 HWY 95 SUITE 115, BULLHEAD CITY, AZ 86442","3640 HWY 95 SUITE 115, BULLHEAD CITY, AZ 86442",BULLHEAD CITY,AZ,86442,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740609
MC-740614,MAGNO RAMOS,RAMOS TRANSPORT,CARRIER,Property,(617) 970-4051,RAMOSTRANSPORT77@YAHOO.COM,"164 AVENUE C, WOONSOCKET, RI 02895","164 AVENUE C, WOONSOCKET, RI 02895",WOONSOCKET,RI,02895,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740614
MC-740618,KK GROUP TRANSPORT INC,,CARRIER,Property,(516) 304-6117,KKGROUPTRANSPORT@HOTMAIL.COM,"9502 238TH ST, FLORAL PARK, NY 11001-3821","9 PRINCESS CT, MILLSTONE TOWNSHIP, NJ 08535",FLORAL PARK,NY,11001-3821,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740618
MC-740625,JENNIFER LYNN ALDEN,ALDEN EXCAVATING,CARRIER,Property,(715) 327-4161,JENTHEPLOWCHIC@YAHOO.COM,"1322 320TH AVENUE, FREDERIC, WI 54837","1322 320TH AVENUE, FREDERIC, WI 54837",FREDERIC,WI,54837,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740625
MC-740635,J & J ELITEDELIVERY SERVICES LLC,J & J ELITE DELIVERY SERVICES,CARRIER,Property,(404) 918-0294,YEVRAHSCOOK@GMAIL.COM,"4919 FLAT SHOALS PKWY, SUITE 107-B-179, DECATUR, GA 30294","4919 FLAT SHOALS PKWY, SUITE 107-B-179, DECATUR, GA 30294",DECATUR,GA,30294,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740635
MC-740644,HENSON TRUCKING LLC,,CARRIER,Property,(606) 598-3627,DAVID.HENSON14@YAHOO.COM,"109 DAVID HENSON ROAD, MANCHESTER, KY 40962","109 DAVID HENSON ROAD, MANCHESTER, KY 40962",MANCHESTER,KY,40962,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740644
MC-740647,LUIS A MARTINEZ CHB,,CARRIER,Property,(956) 717-3300,LUISJR@CABRERALLAMAS.COM,"8511 WHITEPOINT RD, LAREDO, TX 78045","8511 WHITEPOINT RD, LAREDO, TX 78045",LAREDO,TX,78045,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740647
MC-740683,STRAPPED TRUCKING INC,,CARRIER,Property,(951) 240-8471,STRAPPEDTRUCKING@GMAIL.COM,"1522 PASTURE LN, PERRIS, CA 92571","1522 PASTURE LN, PERRIS, CA 92571",PERRIS,CA,92571,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740683
MC-740690,3 M LOGISTICS LLC,,CARRIER,Property,(251) 320-3200,BWT.DARYL@YAHOO.COM,"15901 HWY 43 SOUTH, GROVE HILL, AL 36451","15901 HWY 43 SOUTH, GROVE HILL, AL 36451",GROVE HILL,AL,36451,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740690
MC-740705,JOSE VILLARREAL JR,SUPER TIGER EXPRESS,CARRIER,Property,(956) 355-1728,CARLASANCHEZ53@GMAIL.COM,"437 E MILE 10TH N, WESLACO, TX 78599","437 E MILE 10TH N, WESLACO, TX 78599",WESLACO,TX,78599,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740705
MC-740706,SV TRUCKING INC,,CARRIER,Property,(813) 252-3952,NICOLASGILR@GMAIL.COM,"6601 MEMORIAL HWY, TAMPA, FL 33615","6601 MEMORIAL HWY, TAMPA, FL 33615",TAMPA,FL,33615,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740706
MC-740712,PRECISION HAULING INC,,CARRIER,Property,(601) 937-8168,ERICQUINN1@YAHOO.COM,"282 SUN DR, JACKSON, MS 39211","282 SUN DR, JACKSON, MS 39211",JACKSON,MS,39211,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740712
MC-740714,WEST FLORIDA FREIGHT WAY INC,,CARRIER,Property,(239) 348-0042,WFFW2011@GMAIL.COM,"540 DESOTO BLVD N, NAPLES, FL 34120","540 DESOTO BLVD N, NAPLES, FL 34120-9021",NAPLES,FL,34120,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740714
MC-740731,MOMA'S BOY TRUCKING LLC,,CARRIER,Property,(662) 449-4328,MAXWELL.LAMONTE@GMAIL.COM,"1405 WILBORNE, SOUTHAVEN, MS 38672","1405 WILBORNE, SOUTHAVEN, MS 38672",SOUTHAVEN,MS,38672,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740731
MC-740743,TRANS PACIFICC LLC,,CARRIER,Property,(509) 780-6367,TRANSPACIFIC.2011@GMAIL.COM,"641 LESTER RD, SUNNYSIDE, WA 98944","641 LESTER RD, SUNNYSIDE, WA 98944",SUNNYSIDE,WA,98944,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740743
MC-740746,SUTTON TRUCKING LLC,,CARRIER,Property,(270) 668-5713,SUTTONTRUCKINGLLC88@GMAIL.COM,"204 MH DOWELL LN, IRVINGTON, KY 40146","204 M HDOWELL LN, IRVINGTON, KY 40146",IRVINGTON,KY,40146,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740746
MC-740758,APNA Y XPRESS LTD,,CARRIER,Property,(778) 834-6287,DISPATCH.AYX@GMAIL.COM,"13480 64A AVE, SURREY, BC V3W 6S1","13480 64A AVE, SURREY, BC V3W 6S1",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740758
MC-740766,USMAN EXPRESS LLC,,CARRIER,Property,(727) 597-3122,USMANERIC@YAHOO.COM,"1156 HYACINTH STREET, SAINT AUGUSTINE, FL 32092","1156 HYACINTH STREET, SAINT AUGUSTINE, FL 32092",SAINT AUGUSTINE,FL,32092,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740766
MC-740768,JOSE C HERRERA,HERRERA TRUCKING,CARRIER,Property,(704) 724-7064,,"437 SAN LUIS DR, SANTA MARIA, CA 93455","437 SAN LUIS DR, SANTA MARIA, CA 93455",SANTA MARIA,CA,93455,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740768
MC-740781,SOUTHERN FREIGHT EXPRESS INC,,CARRIER,Property,(404) 509-2812,ALMAZDEDIC@YAHOO.COM,"808 BRASELTON HIGHWAY, LAWRENCEVILLE, GA 30043","808 BRASELTON HIGHWAY, LAWRENCEVILLE, GA 30043",LAWRENCEVILLE,GA,30043,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740781
MC-740795,DEFRANK DEVELOPMENT INC,,CARRIER,Property,(724) 430-1812,DEFRANKDEVELOPMENT@ATLANTICBBN.NET,"593 INDUSTRIAL PARK ROAD, SMOCK, PA 15480","593 INDUSTRIAL PARK ROAD, SMOCK, PA 15480",SMOCK,PA,15480,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740795
MC-740821,WARFA TRUCKING LLC,,CARRIER,Property,(952) 334-5326,WARFATRUCKING@GMAIL.COM,"1425 COLORADO AVE #209, MINNEAPOLIS, MN 55416","1425 COLORADO AVE #209, MINNEAPOLIS, MN 55416",MINNEAPOLIS,MN,55416,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740821
MC-740828,JASON SEAY,JASON SEAY TRUCKING,CARRIER,Property,(580) 235-1314,,"5931 WILSON ST, DURANT, OK 74701","5931 WILSON ST, DURANT, OK 74701",DURANT,OK,74701,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740828
MC-740841,COMBUS CARRIER LLC,,CARRIER,Property,(740) 777-8928,SABDILLE1975@GMAIL.COM,"6809 HILMAR DRIVE, WESTERVILLE, OH 43082","PO BOX 282164, COLUMBUS, OH 43228",WESTERVILLE,OH,43082,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=740841
MC-750104,1697520 ONTARIO INC,NERCH XPRESS,CARRIER,Property,(647) 239-4717,NERCHXPRESS@GMAIL.COM,"368 FATHER TOBIN ROAD, BRAMPTON, ON L6R 0R4","368 FATHER TOBIN ROAD, BRAMPTON, ON L6R 0R4",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750104
MC-750108,GEORGE AND SABA EXPRESS LLC,,CARRIER,Property,(267) 574-1273,GEORGEANDSABAEXPRESS@YAHOO.COM,"13047 BLAKESLEE COURT FLOOR 2, PHILADELPHIA, PA 19116","13047 BLAKESLEE COURT FLOOR 2, PHILADELPHIA, PA 19116",PHILADELPHIA,PA,19116,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750108
MC-750125,CINELA LLC,1-800-GOT-JUNK,CARRIER,Property,(978) 551-1844,,"28 CHARRON AVE SUITE 4, NASHUA, NH 03063","1 ROBERT RD, TYNGSBORO, MA 01879",NASHUA,NH,03063,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750125
MC-750137,HD EXP USA TRANS INC,,CARRIER,Property,(703) 339-8844,HDTRANSUSA@HOTMAIL.COM,"7350 LOCKPORT PL STE F, LORTON, VA 22079","7350 LOCKPORT PL STE F, LORTON, VA 22079",LORTON,VA,22079,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750137
MC-750140,GN EXCAVATING AND TRUCKING CORPORATION,,CARRIER,Property,(270) 922-9173,G.N.EXCAVATING89@GMAIL.COM,"2240 POPLAR GROVE ROAD, LEWISPORT, KY 42351","2240 POPLAR GROVE ROAD, LEWISPORT, KY 42351",LEWISPORT,KY,42351,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750140
MC-750142,ISHUTTLE,,CARRIER,Property,(318) 872-2152,BRYANE@ISHUTTLE.US,"10355 LINWOOD AVE, SHREVEPORT, LA 71106","10355 LINWOOD AVE, SHREVEPORT, LA 71106",SHREVEPORT,LA,71106,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750142
MC-750143,RYAN MEYER,MEYER FARMS,CARRIER,Property,(217) 645-3595,FLYN82M@HOTMAIL.COM,"1946 N 803 LN, LIBERTY, IL 62347","1946 N 803 LN, LIBERTY, IL 62347",LIBERTY,IL,62347,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750143
MC-750145,L AND A TRUCKING LLC,,CARRIER,Property,(803) 518-6904,L.ATRUCKING@YAHOO.COM,"5627 FARROW RD, COLUMBIA, SC 29203","5627 FARROW RD, COLUMBIA, SC 29203",COLUMBIA,SC,29203,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750145
MC-750156,VICTOR KOSOVAN,EXPORT LINE EXPRESS,CARRIER/SHIPPER,Property,(916) 595-5683,EXPORTLINE11@YAHOO.COM,"23290 CHERRY TREE LN, SEDALIA MO, MO 65301","23290 CHERRY TREE LN, SEDALIA MO, MO 65301",SEDALIA MO,MO,65301,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750156
MC-750160,S L B TRANSIT INC,,CARRIER/BROKER,Property,(418) 547-1255,PAYABLE@SLBTRANSIT.COM,"3454 DES GENERATEURS, JONQUIERE, PQ G7X 0M1","3454 DES GENERATEURS, JONQUIERE, PQ G7X 0M1",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750160
MC-750170,DAD TRANSPORT LLC,,CARRIER,Property,(618) 382-4039,DAVID@DADTRANSPORTS.COM,"4560 HWY 69 SOUTH, MOUNT VERNON, IN 47620","PO BOX 235, CARMI, IL 62835",MOUNT VERNON,IN,47620,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750170
MC-750179,AYBAR TRUCKING LLC,,CARRIER,Property,(570) 617-5153,ELVIS@AYBARTRUCKING.COM,"533 WEST COAL STREET, SHENANDOAH, PA 17976","PO BOX 298, DELANO, PA 18220-0298",SHENANDOAH,PA,17976,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750179
MC-750183,RONALD RAY CUCHNA,RON CUCHNA TRANSFER,CARRIER,Property,(320) 441-8716,,"103 240TH AVE NE, NEW LONDON, MN 56273","103 240TH AVE NE, NEW LONDON, MN 56273",NEW LONDON,MN,56273,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750183
MC-750190,E Z TRUCKING LTD,,CARRIER,Property,(780) 962-9301,EZZETRUCKING@GMAIL.COM,"1005 SOUTH CREEK DR, STONY PLAIN, AB T7Z 1Y2","PO BOX 2725, STONE PLAIN, AB T7Z 1Y2",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750190
MC-750195,M&K EXPRESS CARRIERS INC,,CARRIER,Property,(305) 978-4814,MKEXPRESSC69@AOL.COM,"11119 W OKEECHOBEE RD UNIT 148, HIALEAH, FL 33018","11119 W OKEECHOBEE RD UNIT 148, HIALEAH, FL 33018",HIALEAH,FL,33018,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750195
,JOSE ALONZO CUELLAR DE LA GARZA,,CARRIER,Property,(818) 225-7917,JOE-GZZ@OUTLOOK.COM,"ARIZMENDI 296, VERACRUZ, VC 91897","501 N BRIDGE ST STE 566, HIDALGO, TX 78557",VERACRUZ,VC,91897,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750209
MC-750214,DTRAN LLC,,CARRIER,Property,(239) 872-1895,DTRAINS13@AOL.COM,"111 LINCOLN AVE, LEHIGH ACRES, FL 33936","111 LINCOLN AVE, LEHIGH ACRES, FL 33936",LEHIGH ACRES,FL,33936,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750214
MC-750231,KEVIN TRANSPORT INC,,CARRIER,Property,(818) 644-1269,KEVINTRANSPORTINC@GMAIL.COM,"4061 S LAKE PARK AVE #2, CHICAGO, IL 60653","4061 S LAKE PARK AVE #2, CHICAGO, IL 60653",CHICAGO,IL,60653,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750231
MC-903141,CH GLOBAL GROUP INC,,CARRIER,Property,(815) 262-7319,CHGLOBAL12@GMAIL.COM,"5463 FOREST TRAIL DR, ROCKFORD, IL 61109","5463 FOREST TRAIL DR, ROCKFORD, IL 61109",ROCKFORD,IL,61109,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750232
MC-750247,LES PECHERIES NORREF QUEBEC INC,,CARRIER,Property,(514) 593-9999,CHANTAL.PAQUET@NORREF.COLABOR.COM,"4900 MOLSON, MONTREAL, PQ H1Y 3J8","4900 MOLSON, MONTREAL, PQ H1Y 3J8",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750247
MC-750261,CESARIO DUARTE,DUARTE TRUCKING,CARRIER,Property,(575) 544-1056,,"4595 8TH STREET SW, DEMING, NM 88030","4595 8TH STREET SW, DEMING, NM 88030",DEMING,NM,88030,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750261
MC-750280,FREZTAG TRUCKING INC,,CARRIER,Property,(319) 290-5224,FREZTAGTRUCKINGINC@GMAIL.COM,"2824 230TH ST, READLYN, IA 50668","PO BOX 72, READLYN, IA 50668",READLYN,IA,50668,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750280
MC-750298,TUCKER FARMS ENTERPRISE LLC,,CARRIER,Property,(678) 428-3489,DTUCKER1017@YAHOO.COM,"6510 MOON RD, COLUMBUS, GA 31909-3243","6510 MOON RD, COLUMBUS, GA 31909",COLUMBUS,GA,31909-3243,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750298
MC-750306,RANDALL BUTTERFIELD,RANDY BUTTERFIELD TRUCKING,CARRIER,Property,(308) 653-2063,C_RBUTTERFIELD@HOTMAIL.COM,"82527 494TH AVE, ERICSON, NE 68637-8031","82527 494TH AVE, ERICSON, NE 68637-8031",ERICSON,NE,68637-8031,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750306
MC-750312,SKYPOINT TRANSIT LLC,,CARRIER,Property,(800) 898-6897,MARC@SKYPOINTTRANSIT.COM,"2525 E KERCHER ROAD, GOSHEN, IN 46528","2525 E KERCHER ROAD, GOSHEN, IN 46528",GOSHEN,IN,46528,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750312
MC-750328,KRT INC,,CARRIER,Property,(307) 382-2304,KRTINC.WY@HOTMAIL.COM,"7101 FOOTHILL BLVD, ROCK SPRINGS, WY 82901","7101 FOOTHILL BLVD, ROCK SPRINGS, WY 82901",ROCK SPRINGS,WY,82901,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750328
MC-750351,CAM 2 AUTO TRANSPORT,,CARRIER,Property,(540) 422-5571,JVPWRWASH@YAHOO.COM,"6310 MARTIN LUTHER KING HWY, SPRING GROVE, VA 23881","4188 TRAIL OF FAITH COURT, LOCUST GROVE, VA 22508",SPRING GROVE,VA,23881,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750351
MC-750353,GRUNDOON INC,GOLD COUNTRY TOW SERVICE,CARRIER,Property,(530) 362-0995,JANTZ91301@AOL.COM,"1025 IDAHO MARYLAND, GRASS VALLEY, CA 95945","2036 NEVADA CITY HWY #195, GRASS VALLEY, CA 95945",GRASS VALLEY,CA,95945,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=750353
MC-730606,UNIVERSAL COACH LINES LTD,,CARRIER,Property,(403) 948-6788,TERRY@UNIVERSALCOACH.CA,"2932 KINGSVIEW BOULEVARD SE, AIRDRIE, AB T4A 0C9","2932 KINGSVIEW BOULEVARD SE, AIRDRIE, AB T4A 0C9",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730606
MC-730607,DEAN LOGISTICS LLC,,CARRIER,Property,(920) 469-6500,RROBENHORST@DEANDIST.COM,"1215 ONTARIO RD, GREEN BAY, WI 54311","8326, GREEN BAY, WI 54308",GREEN BAY,WI,54311,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730607
MC-730653,STRAIGHT FORWARD TRANSPORTATION LTD,,CARRIER,Property,(740) 995-0748,STRAIGHTFORWARDTRANS@YAHOO.COM,"62171 PATTON HOLLOW ROAD, CAMBRIDGE, OH 43725","62171 PATTON HOLLOW ROAD, CAMBRIDGE, OH 43725",CAMBRIDGE,OH,43725,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730653
MC-730655,M&M TRUCKING OF SOUTH CAROLINA LLC,,CARRIER,Property,(864) 787-6840,M.MTRUCKING09@YAHOO.COM,"200 D STREET, ANDERSON, SC 29625","200 D STREET, ANDERSON, SC 29625",ANDERSON,SC,29625,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730655
MC-730665,AMHS INC,,CARRIER,Property,(734) 341-2298,AMHSINC10@YAHOO.COM,"10645 HAGGERMAN ROAD, SOUTH ROCKWOOD, MI 48179","10645 HAGGERMAN ROAD, SOUTH ROCKWOOD, MI 48179",SOUTH ROCKWOOD,MI,48179,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730665
MC-730669,OTIS N POTTS,POTTS AUTO & POTTS SALVAGE,CARRIER,Property,(423) 554-3927,POTTSAUTO@GMAIL.COM,"1775 OLD YORK HWY E, DUNLAP, TN 37327","324 NORRIS HENDON RD, GRAYSVILLE, TN 37338",DUNLAP,TN,37327,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730669
MC-730675,SHERGILL TRANSPORT LLC,,CARRIER,Property,(732) 882-2725,SANTSINGH61@HOTMAIL.COM,"98 MASON ST, METUCHEN, NJ 08840","98 MASON ST, METUCHEN, NJ 08840",METUCHEN,NJ,08840,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730675
MC-730676,TAMA TRANSPORTATION INC,,CARRIER,Property,(312) 386-7184,TAMA.TRANSPORTATION@GMAIL.COM,"3303 HIGHWOOD CT, ELGIN, IL 60124","3303 HIGHWOOD CT, ELGIN, IL 60124",ELGIN,IL,60124,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730676
MC-730691,JOSE A CANTU,DOUBLE A EXPRESS,CARRIER,Property,(509) 727-6071,DOUBLEAEXPRESS@OUTLOOK.COM,"4005 HORIZON DRIVE, PASCO, WA 99301","PO BOX 506, PASCO, WA 99301",PASCO,WA,99301,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730691
MC-730711,ELIAS WILF CORPORATION,,CARRIER/SHIPPER,Property,(410) 363-2400,FRANKSPICHER@ELIASWILF.COM,"10234 S DOLFIELD RD, OWINGS MILLS, MD 21117-3608","P O BOX 309, OWINGS MILLS, MD 21117-0309",OWINGS MILLS,MD,21117-3608,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730711
MC-730731,JOHN G RISNER,,CARRIER,Property,(606) 349-6631,,"6358 EAST MOUNTAIN PKWY, SALYERSVILLE, KY 41465","6358 EAST MOUNTAIN PKWY, SALYERSVILLE, KY 41465",SALYERSVILLE,KY,41465,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730731
MC-730752,NEXT-DAY LOGISTICS INCORPORATED,,CARRIER,Property,(519) 990-2382,NEXTDAYLOGISTICS@YAHOO.COM,"130 MCMURREN CRESCENT, WINDSOR, ON N8N 4R5","130 MCMURREN CRESCENT, WINDSOR, ON N8N 4R5",,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730752
MC-730753,HQ MARINE TRANSPORT INC,,CARRIER,Property,(864) 312-5200,JULIE@HQMARINETRANSPORT.COM,"223 SILOAM RD SUITE E, EASLEY, SC 29642","223 SILOAM RD SUITE E, EASLEY, SC 29642",EASLEY,SC,29642,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730753
MC-730839,ALBOR TRUCKING LLC,,CARRIER,Property,(928) 627-3764,ALBORTRUCKING@HOTMAIL.COM,"1555 MONREAL LANE, SAN LUIS, AZ 85349","P O BOX 3695, SAN LUIS, AZ 85349",SAN LUIS,AZ,85349,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730839
MC-730840,PATRICK HENCHEY,HENCHEY TRANSPORATION,CARRIER,Property,(607) 376-1229,HENCHEYS.TRANSPORTATION@GMAIL.COM,"1071 EAST AFTON RD, BAINBRIDGE, NY 13733","P O BOX 61, BAINBRIDGE, NY 13733",BAINBRIDGE,NY,13733,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730840
MC-730841,LOYAL LOGISTICS LLC,,CARRIER,Property,(770) 820-1188,COL3867@YAHOO.COM,"421 CALLAWAY LANE, CONYERS, GA 30012","421 CALLAWAY LANE, CONYERS, GA 30012",CONYERS,GA,30012,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730841
MC-730843,ISAIAS GONZALEZ,ISAIAS GONZALEZ TRUCKING,CARRIER,Property,(956) 454-2974,D199381@YAHOO.COM,"6905 AVENIDA DEL PASEO, PALMVIEW, TX 78572","PO BOX 2856, MISSION, TX 78573",PALMVIEW,TX,78572,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730843
MC-730851,ALL WAYS EXPRESS LLC,,CARRIER,Property,(253) 735-8600,ALLWAYSDISPATCH1@GMAIL.COM,"15175 SE 344TH ST, AUBURN, WA 98092","15175 SE 344TH ST, AUBURN, WA 98092",AUBURN,WA,98092,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=730851
MC-731609,THE FURNITURE BARN INC,,CARRIER,Property,(641) 228-2222,FBMAIN@YAHOO.COM,"101 9TH STREET, CHARLES CITY, IA 50616","101 9TH STREET, CHARLES CITY, IA 50616",CHARLES CITY,IA,50616,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=731609
